State,AssessmentFeeId,Rate,EffectiveDate,ExpirationDate
CA,,Black,2021-01-01,2022-01-01
CA,,Black,2021-01-01,2022-01-01
CA,,Black,2021-01-01,2022-01-01
CA,,Black,2021-01-01,2022-01-01
CA,,Black,2021-01-01,2022-01-01
CA,,Orange,2021-01-01,2022-01-01
CA,,Orange,2021-01-01,2022-01-01
CA,,Red,2021-01-01,2022-01-01
CA,,Black,2021-01-01,2022-01-01
CA,,Black,2021-01-01,2022-01-01
CA,,Black,2021-01-01,2022-01-01
CA,,Red,2021-01-01,2022-01-01
CA,,Red,2021-01-01,2022-01-01
CA,,Red,2021-01-01,2022-01-01
CA,,Red,2021-01-01,2022-01-01
CA,,Red,2021-01-01,2022-01-01
CA,,Orange,2021-01-01,2022-01-01
CA,,Black,2021-01-01,2022-01-01
CA,,Orange,2021-01-01,2022-01-01
CA,,Yellow,2021-01-01,2022-01-01
CA,,Green,2021-01-01,2022-01-01
CA,,Red,2021-01-01,2022-01-01
CA,,Black,2021-01-01,2022-01-01
CA,,Orange,2021-01-01,2022-01-01
CA,,Black,2021-01-01,2022-01-01
CA,,Orange,2021-01-01,2022-01-01
CA,,Red,2021-01-01,2022-01-01
CA,,Red,2021-01-01,2022-01-01
CA,,Black,2021-01-01,2022-01-01
CA,,Yellow,2021-01-01,2022-01-01
CA,,Orange,2021-01-01,2022-01-01
CA,,Red,2021-01-01,2022-01-01
CA,,Red,2021-01-01,2022-01-01
CA,,Orange,2021-01-01,2022-01-01
CA,,Red,2021-01-01,2022-01-01
CA,,Black,2021-01-01,2022-01-01
CA,,Black,2021-01-01,2022-01-01
CA,,Black,2021-01-01,2022-01-01
CA,,Black,2021-01-01,2022-01-01
CA,,Black,2021-01-01,2022-01-01
CA,,Black,2021-01-01,2022-01-01
CA,,Black,2021-01-01,2022-01-01
CA,,Black,2021-01-01,2022-01-01
CA,,Black,2021-01-01,2022-01-01
CA,,Black,2021-01-01,2022-01-01
CA,,Orange,2021-01-01,2022-01-01
CA,,Black,2021-01-01,2022-01-01
CA,,Black,2021-01-01,2022-01-01
CA,,Black,2021-01-01,2022-01-01
CA,,Red,2021-01-01,2022-01-01
CA,,Red,2021-01-01,2022-01-01
CA,,Green,2021-01-01,2022-01-01
CA,,Green,2021-01-01,2022-01-01
CA,,Black,2021-01-01,2022-01-01
CA,,Black,2021-01-01,2022-01-01
CA,,Black,2021-01-01,2022-01-01
CA,,Black,2021-01-01,2022-01-01
CA,,Red,2021-01-01,2022-01-01
CA,,Black,2021-01-01,2022-01-01
CA,,Black,2021-01-01,2022-01-01
CA,,Green,2021-01-01,2022-01-01
CA,,Green,2021-01-01,2022-01-01
CA,,Green,2021-01-01,2022-01-01
CA,,Green,2021-01-01,2022-01-01
CA,,Green,2021-01-01,2022-01-01
CA,,Green,2021-01-01,2022-01-01
CA,,Green,2021-01-01,2022-01-01
CA,,Green,2021-01-01,2022-01-01
CA,,Green,2021-01-01,2022-01-01
CA,,Green,2021-01-01,2022-01-01
CA,,Green,2021-01-01,2022-01-01
CA,,Green,2021-01-01,2022-01-01
CA,,Green,2021-01-01,2022-01-01
CA,,Green,2021-01-01,2022-01-01
CA,,Yellow,2021-01-01,2022-01-01
CA,,Orange,2021-01-01,2022-01-01
CA,,Orange,2021-01-01,2022-01-01
CA,,Green,2021-01-01,2022-01-01
CA,,Red,2021-01-01,2022-01-01
CA,,Yellow,2021-01-01,2022-01-01
CA,,Green,2021-01-01,2022-01-01
CA,,Green,2021-01-01,2022-01-01
CA,,Green,2021-01-01,2022-01-01
CA,,Green,2021-01-01,2022-01-01
CA,,Green,2021-01-01,2022-01-01
CA,,Yellow,2021-01-01,2022-01-01
CA,,Green,2021-01-01,2022-01-01
CA,,Green,2021-01-01,2022-01-01
CA,,Green,2021-01-01,2022-01-01
CA,,Red,2021-01-01,2022-01-01
CA,,Red,2021-01-01,2022-01-01
CA,,Green,2021-01-01,2022-01-01
CA,,Red,2021-01-01,2022-01-01
CA,,Yellow,2021-01-01,2022-01-01
CA,,Red,2021-01-01,2022-01-01
CA,,Green,2021-01-01,2022-01-01
CA,,Red,2021-01-01,2022-01-01
CA,,Orange,2021-01-01,2022-01-01
CA,,Green,2021-01-01,2022-01-01
CA,,Red,2021-01-01,2022-01-01
CA,,Black,2021-01-01,2022-01-01
CA,,Black,2021-01-01,2022-01-01
CA,,Green,2021-01-01,2022-01-01
CA,,Yellow,2021-01-01,2022-01-01
CA,,Green,2021-01-01,2022-01-01
CA,,Yellow,2021-01-01,2022-01-01
CA,,Red,2021-01-01,2022-01-01
CA,,Green,2021-01-01,2022-01-01
CA,,Orange,2021-01-01,2022-01-01
CA,,Yellow,2021-01-01,2022-01-01
CA,,Green,2021-01-01,2022-01-01
CA,,Green,2021-01-01,2022-01-01
CA,,Green,2021-01-01,2022-01-01
CA,,Yellow,2021-01-01,2022-01-01
CA,,Green,2021-01-01,2022-01-01
CA,,Green,2021-01-01,2022-01-01
CA,,Green,2021-01-01,2022-01-01
CA,,Yellow,2021-01-01,2022-01-01
CA,,Green,2021-01-01,2022-01-01
CA,,Red,2021-01-01,2022-01-01
CA,,Yellow,2021-01-01,2022-01-01
CA,,Black,2021-01-01,2022-01-01
CA,,Orange,2021-01-01,2022-01-01
CA,,Orange,2021-01-01,2022-01-01
CA,,Green,2021-01-01,2022-01-01
CA,,Orange,2021-01-01,2022-01-01
CA,,Yellow,2021-01-01,2022-01-01
CA,,Yellow,2021-01-01,2022-01-01
CA,,Yellow,2021-01-01,2022-01-01
CA,,Orange,2021-01-01,2022-01-01
CA,,Yellow,2021-01-01,2022-01-01
CA,,Green,2021-01-01,2022-01-01
CA,,Yellow,2021-01-01,2022-01-01
CA,,Black,2021-01-01,2022-01-01
CA,,Yellow,2021-01-01,2022-01-01
CA,,Green,2021-01-01,2022-01-01
CA,,Green,2021-01-01,2022-01-01
CA,,Red,2021-01-01,2022-01-01
CA,,Red,2021-01-01,2022-01-01
CA,,Yellow,2021-01-01,2022-01-01
CA,,Green,2021-01-01,2022-01-01
CA,,Yellow,2021-01-01,2022-01-01
CA,,Yellow,2021-01-01,2022-01-01
CA,,Yellow,2021-01-01,2022-01-01
CA,,Green,2021-01-01,2022-01-01
CA,,Yellow,2021-01-01,2022-01-01
CA,,Green,2021-01-01,2022-01-01
CA,,Red,2021-01-01,2022-01-01
CA,,Red,2021-01-01,2022-01-01
CA,,Red,2021-01-01,2022-01-01
CA,,Orange,2021-01-01,2022-01-01
CA,,Yellow,2021-01-01,2022-01-01
CA,,Black,2021-01-01,2022-01-01
CA,,Green,2021-01-01,2022-01-01
CA,,Green,2021-01-01,2022-01-01
CA,,Yellow,2021-01-01,2022-01-01
CA,,Green,2021-01-01,2022-01-01
CA,,Green,2021-01-01,2022-01-01
CA,,Green,2021-01-01,2022-01-01
CA,,Yellow,2021-01-01,2022-01-01
CA,,Red,2021-01-01,2022-01-01
CA,,Red,2021-01-01,2022-01-01
CA,,Orange,2021-01-01,2022-01-01
CA,,Green,2021-01-01,2022-01-01
CA,,Green,2021-01-01,2022-01-01
CA,,Red,2021-01-01,2022-01-01
CA,,Red,2021-01-01,2022-01-01
CA,,Red,2021-01-01,2022-01-01
CA,,Orange,2021-01-01,2022-01-01
CA,,Yellow,2021-01-01,2022-01-01
CA,,Green,2021-01-01,2022-01-01
CA,,Green,2021-01-01,2022-01-01
CA,,Green,2021-01-01,2022-01-01
CA,,Green,2021-01-01,2022-01-01
CA,,Orange,2021-01-01,2022-01-01
CA,,Green,2021-01-01,2022-01-01
CA,,Red,2021-01-01,2022-01-01
CA,,Orange,2021-01-01,2022-01-01
CA,,Red,2021-01-01,2022-01-01
CA,,Green,2021-01-01,2022-01-01
CA,,Green,2021-01-01,2022-01-01
CA,,Green,2021-01-01,2022-01-01
CA,,Green,2021-01-01,2022-01-01
CA,,Green,2021-01-01,2022-01-01
CA,,Yellow,2021-01-01,2022-01-01
CA,,Green,2021-01-01,2022-01-01
CA,,Red,2021-01-01,2022-01-01
CA,,Yellow,2021-01-01,2022-01-01
CA,,Yellow,2021-01-01,2022-01-01
CA,,Green,2021-01-01,2022-01-01
CA,,Orange,2021-01-01,2022-01-01
CA,,Yellow,2021-01-01,2022-01-01
CA,,Red,2021-01-01,2022-01-01
CA,,Green,2021-01-01,2022-01-01
CA,,Yellow,2021-01-01,2022-01-01
CA,,Green,2021-01-01,2022-01-01
CA,,Red,2021-01-01,2022-01-01
CA,,Red,2021-01-01,2022-01-01
CA,,Red,2021-01-01,2022-01-01
CA,,Red,2021-01-01,2022-01-01
CA,,Orange,2021-01-01,2022-01-01
CA,,Black,2021-01-01,2022-01-01
CA,,Black,2021-01-01,2022-01-01
CA,,Black,2021-01-01,2022-01-01
CA,,Black,2021-01-01,2022-01-01
CA,,Green,2021-01-01,2022-01-01
CA,,Black,2021-01-01,2022-01-01
CA,,Orange,2021-01-01,2022-01-01
CA,,Black,2021-01-01,2022-01-01
CA,,Black,2021-01-01,2022-01-01
CA,,Black,2021-01-01,2022-01-01
CA,,Orange,2021-01-01,2022-01-01
CA,,Black,2021-01-01,2022-01-01
CA,,Yellow,2021-01-01,2022-01-01
CA,,Yellow,2021-01-01,2022-01-01
CA,,Green,2021-01-01,2022-01-01
CA,,Green,2021-01-01,2022-01-01
CA,,Yellow,2021-01-01,2022-01-01
CA,,Green,2021-01-01,2022-01-01
CA,,Red,2021-01-01,2022-01-01
CA,,Yellow,2021-01-01,2022-01-01
CA,,Red,2021-01-01,2022-01-01
CA,,Red,2021-01-01,2022-01-01
CA,,Green,2021-01-01,2022-01-01
CA,,Black,2021-01-01,2022-01-01
CA,,Green,2021-01-01,2022-01-01
FL,,Green,2021-01-01,2022-01-01
FL,,Green,2021-01-01,2022-01-01
FL,,Green,2021-01-01,2022-01-01
FL,,Red,2021-01-01,2022-01-01
FL,,Red,2021-01-01,2022-01-01
FL,,Green,2021-01-01,2022-01-01
FL,,Red,2021-01-01,2022-01-01
FL,,Green,2021-01-01,2022-01-01
FL,,Green,2021-01-01,2022-01-01
FL,,Red,2021-01-01,2022-01-01
FL,,Green,2021-01-01,2022-01-01
FL,,NA,2021-01-01,2022-01-01
FL,,NA,2021-01-01,2022-01-01
FL,,NA,2021-01-01,2022-01-01
FL,,NA,2021-01-01,2022-01-01
FL,,Green,2021-01-01,2022-01-01
FL,,Black,2021-01-01,2022-01-01
FL,,Orange,2021-01-01,2022-01-01
FL,,Red,2021-01-01,2022-01-01
FL,,Green,2021-01-01,2022-01-01
FL,,Black,2021-01-01,2022-01-01
FL,,Green,2021-01-01,2022-01-01
FL,,Red,2021-01-01,2022-01-01
FL,,Red,2021-01-01,2022-01-01
FL,,NA,2021-01-01,2022-01-01
FL,,Black,2021-01-01,2022-01-01
FL,,Black,2021-01-01,2022-01-01
FL,,Green,2021-01-01,2022-01-01
FL,,Black,2021-01-01,2022-01-01
FL,,Black,2021-01-01,2022-01-01
FL,,Black,2021-01-01,2022-01-01
FL,,Black,2021-01-01,2022-01-01
FL,,Black,2021-01-01,2022-01-01
FL,,Black,2021-01-01,2022-01-01
FL,,Black,2021-01-01,2022-01-01
FL,,Red,2021-01-01,2022-01-01
FL,,Black,2021-01-01,2022-01-01
FL,,Red,2021-01-01,2022-01-01
FL,,Black,2021-01-01,2022-01-01
FL,,Black,2021-01-01,2022-01-01
FL,,Red,2021-01-01,2022-01-01
FL,,Black,2021-01-01,2022-01-01
FL,,Red,2021-01-01,2022-01-01
FL,,Red,2021-01-01,2022-01-01
FL,,Black,2021-01-01,2022-01-01
FL,,Red,2021-01-01,2022-01-01
FL,,Red,2021-01-01,2022-01-01
FL,,Black,2021-01-01,2022-01-01
FL,,Red,2021-01-01,2022-01-01
FL,,Red,2021-01-01,2022-01-01
FL,,Red,2021-01-01,2022-01-01
FL,,Red,2021-01-01,2022-01-01
FL,,Orange,2021-01-01,2022-01-01
FL,,Orange,2021-01-01,2022-01-01
FL,,Red,2021-01-01,2022-01-01
FL,,Green,2021-01-01,2022-01-01
FL,,Red,2021-01-01,2022-01-01
FL,,Yellow,2021-01-01,2022-01-01
FL,,Orange,2021-01-01,2022-01-01
FL,,Green,2021-01-01,2022-01-01
FL,,Green,2021-01-01,2022-01-01
FL,,Yellow,2021-01-01,2022-01-01
FL,,Green,2021-01-01,2022-01-01
FL,,Black,2021-01-01,2022-01-01
FL,,Red,2021-01-01,2022-01-01
FL,,Red,2021-01-01,2022-01-01
FL,,Green,2021-01-01,2022-01-01
FL,,Green,2021-01-01,2022-01-01
FL,,Green,2021-01-01,2022-01-01
FL,,Yellow,2021-01-01,2022-01-01
FL,,Black,2021-01-01,2022-01-01
FL,,Yellow,2021-01-01,2022-01-01
FL,,Red,2021-01-01,2022-01-01
FL,,Green,2021-01-01,2022-01-01
FL,,Yellow,2021-01-01,2022-01-01
FL,,Yellow,2021-01-01,2022-01-01
FL,,Red,2021-01-01,2022-01-01
FL,,Red,2021-01-01,2022-01-01
FL,,Red,2021-01-01,2022-01-01
FL,,Yellow,2021-01-01,2022-01-01
FL,,Yellow,2021-01-01,2022-01-01
FL,,Yellow,2021-01-01,2022-01-01
FL,,Yellow,2021-01-01,2022-01-01
FL,,Yellow,2021-01-01,2022-01-01
FL,,Yellow,2021-01-01,2022-01-01
FL,,Yellow,2021-01-01,2022-01-01
FL,,Yellow,2021-01-01,2022-01-01
FL,,Yellow,2021-01-01,2022-01-01
FL,,Orange,2021-01-01,2022-01-01
FL,,Yellow,2021-01-01,2022-01-01
FL,,Green,2021-01-01,2022-01-01
FL,,Yellow,2021-01-01,2022-01-01
FL,,Green,2021-01-01,2022-01-01
FL,,Green,2021-01-01,2022-01-01
FL,,Green,2021-01-01,2022-01-01
FL,,Orange,2021-01-01,2022-01-01
FL,,Green,2021-01-01,2022-01-01
FL,,Green,2021-01-01,2022-01-01
FL,,Yellow,2021-01-01,2022-01-01
FL,,Green,2021-01-01,2022-01-01
FL,,Red,2021-01-01,2022-01-01
FL,,Red,2021-01-01,2022-01-01
FL,,Orange,2021-01-01,2022-01-01
FL,,Orange,2021-01-01,2022-01-01
FL,,Orange,2021-01-01,2022-01-01
FL,,Orange,2021-01-01,2022-01-01
FL,,Orange,2021-01-01,2022-01-01
FL,,Black,2021-01-01,2022-01-01
FL,,Red,2021-01-01,2022-01-01
FL,,Red,2021-01-01,2022-01-01
FL,,Orange,2021-01-01,2022-01-01
FL,,Orange,2021-01-01,2022-01-01
FL,,Orange,2021-01-01,2022-01-01
FL,,Yellow,2021-01-01,2022-01-01
FL,,Orange,2021-01-01,2022-01-01
FL,,Yellow,2021-01-01,2022-01-01
FL,,Yellow,2021-01-01,2022-01-01
FL,,Yellow,2021-01-01,2022-01-01
FL,,Yellow,2021-01-01,2022-01-01
FL,,Yellow,2021-01-01,2022-01-01
FL,,Green,2021-01-01,2022-01-01
FL,,Green,2021-01-01,2022-01-01
FL,,Red,2021-01-01,2022-01-01
FL,,Red,2021-01-01,2022-01-01
FL,,Orange,2021-01-01,2022-01-01
FL,,Red,2021-01-01,2022-01-01
FL,,Red,2021-01-01,2022-01-01
FL,,Red,2021-01-01,2022-01-01
FL,,Yellow,2021-01-01,2022-01-01
FL,,Red,2021-01-01,2022-01-01
FL,,Red,2021-01-01,2022-01-01
FL,,Red,2021-01-01,2022-01-01
FL,,Yellow,2021-01-01,2022-01-01
FL,,Yellow,2021-01-01,2022-01-01
FL,,Red,2021-01-01,2022-01-01
FL,,Green,2021-01-01,2022-01-01
FL,,Green,2021-01-01,2022-01-01
FL,,Red,2021-01-01,2022-01-01
FL,,Red,2021-01-01,2022-01-01
FL,,Red,2021-01-01,2022-01-01
FL,,Red,2021-01-01,2022-01-01
FL,,Black,2021-01-01,2022-01-01
FL,,Green,2021-01-01,2022-01-01
FL,,Red,2021-01-01,2022-01-01
FL,,Yellow,2021-01-01,2022-01-01
FL,,Yellow,2021-01-01,2022-01-01
FL,,Yellow,2021-01-01,2022-01-01
FL,,Red,2021-01-01,2022-01-01
